                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1431,                 1.8065,                  1.508,                0.27501,                0.50458,                0.24251,                 0.0654,                 2.6172,                 1.8961,                 1.8599,             0.00066438,             0.00066438,             0.00066438
                      2,                 2.0853,                  1.356,                 1.5004,                0.28922,                0.57497,                0.24747,                0.06718,                 2.6147,                 1.9524,                 1.9345,              0.0012871,              0.0012871,              0.0012871
                      3,                 2.0589,                 1.3368,                 1.4747,                 0.4554,                0.55934,                0.42294,                0.11181,                  2.498,                 1.5866,                 1.8995,              0.0018659,              0.0018659,              0.0018659
                      4,                 2.0228,                 1.2768,                 1.4423,                 0.2787,                0.56169,                0.25862,                0.07072,                 2.6396,                 1.9064,                 1.9654,               0.001802,               0.001802,               0.001802
                      5,                 1.9928,                 1.2317,                 1.4319,                0.41761,                 0.5658,                0.39085,                0.11227,                 2.4471,                 1.6454,                 1.8319,               0.001802,               0.001802,               0.001802
                      6,                 1.9812,                 1.2138,                 1.4163,                0.49035,                0.58343,                0.47675,                0.13325,                 2.4389,                 1.5813,                 1.8239,               0.001736,               0.001736,               0.001736
                      7,                 1.9558,                 1.1885,                 1.4182,                 0.4459,                0.58961,                0.43989,                0.12492,                 2.4577,                 1.5993,                 1.8609,                0.00167,                0.00167,                0.00167
                      8,                  1.938,                 1.1372,                 1.3898,                0.61074,                 0.6181,                0.57391,                 0.1638,                 2.4197,                 1.4581,                 1.8363,               0.001604,               0.001604,               0.001604
                      9,                 1.9176,                 1.1376,                 1.3907,                0.30399,                0.62515,                0.28411,                0.08165,                 2.6724,                 1.8939,                 2.0002,               0.001538,               0.001538,               0.001538
                     10,                 1.9086,                 1.1178,                 1.3891,                0.41577,                 0.5282,                0.38704,                0.11041,                 2.5323,                 1.7259,                 1.8817,               0.001472,               0.001472,               0.001472
                     11,                 1.9075,                 1.1175,                 1.3768,                0.47366,                0.61516,                0.47778,                0.14103,                 2.3931,                 1.5462,                 1.8041,               0.001406,               0.001406,               0.001406
                     12,                 1.8979,                 1.1068,                 1.3652,                0.48518,                0.55993,                0.45469,                0.12542,                 2.4223,                 1.6119,                 1.8244,                0.00134,                0.00134,                0.00134
                     13,                 1.8785,                 1.0715,                 1.3724,                0.54706,                0.55817,                0.51488,                0.14641,                 2.4639,                 1.5358,                 1.8558,               0.001274,               0.001274,               0.001274
                     14,                 1.8547,                 1.0461,                 1.3647,                0.45005,                0.57313,                0.45591,                0.13037,                 2.4342,                 1.6414,                  1.843,               0.001208,               0.001208,               0.001208
                     15,                 1.8645,                 1.0617,                 1.3548,                  0.532,                0.63043,                0.55053,                0.16332,                 2.4074,                 1.4983,                  1.822,               0.001142,               0.001142,               0.001142
                     16,                 1.8546,                 1.0575,                 1.3569,                0.47159,                0.53173,                0.41313,                0.12009,                 2.5388,                  1.654,                  1.894,               0.001076,               0.001076,               0.001076
                     17,                 1.8278,                 1.0158,                 1.3319,                0.55832,                0.59988,                0.51369,                0.15277,                 2.4343,                 1.5086,                 1.8385,                0.00101,                0.00101,                0.00101
                     18,                 1.8487,                 1.0148,                 1.3499,                0.49842,                 0.5141,                0.42533,                0.12453,                 2.5721,                  1.648,                 1.9194,               0.000944,               0.000944,               0.000944
                     19,                 1.8358,                0.98615,                 1.3453,                0.52547,                0.54583,                0.49404,                0.14194,                 2.4902,                 1.5492,                 1.8791,               0.000878,               0.000878,               0.000878
                     20,                 1.8135,                0.98057,                  1.333,                0.42483,                0.60223,                0.43911,                0.13171,                 2.4482,                 1.6017,                 1.8759,               0.000812,               0.000812,               0.000812
                     21,                 1.8463,                0.98989,                 1.4165,                0.59314,                0.60635,                0.57459,                0.17068,                 2.4255,                 1.3978,                 1.8396,               0.000746,               0.000746,               0.000746
                     22,                 1.8245,                0.96959,                  1.393,                0.59454,                0.59275,                0.55448,                 0.1679,                 2.4572,                 1.4352,                 1.8663,                0.00068,                0.00068,                0.00068
                     23,                 1.8267,                0.94771,                 1.3958,                0.52027,                0.55347,                0.48746,                0.14543,                 2.5119,                 1.5707,                 1.8823,               0.000614,               0.000614,               0.000614
                     24,                 1.8086,                0.93296,                 1.3853,                0.60575,                 0.5877,                0.56042,                0.16273,                 2.4748,                 1.4105,                 1.8657,               0.000548,               0.000548,               0.000548
                     25,                  1.797,                0.93105,                 1.3843,                0.55977,                0.58422,                0.54332,                0.15882,                 2.4639,                 1.4704,                 1.8736,               0.000482,               0.000482,               0.000482
                     26,                 1.7829,                0.90504,                 1.3668,                0.58237,                0.60517,                0.53868,                0.16177,                 2.4235,                 1.4616,                 1.8455,               0.000416,               0.000416,               0.000416
                     27,                 1.7744,                0.90645,                 1.3721,                0.62469,                0.62456,                0.58647,                0.17618,                 2.4417,                 1.4081,                 1.8434,                0.00035,                0.00035,                0.00035
                     28,                 1.7679,                0.88931,                 1.3708,                0.56633,                0.58872,                0.54611,                0.16462,                 2.4055,                 1.5077,                 1.8215,               0.000284,               0.000284,               0.000284
                     29,                 1.7601,                0.87672,                 1.3566,                0.63309,                0.62854,                0.60286,                0.18308,                 2.4439,                  1.411,                 1.8554,               0.000218,               0.000218,               0.000218
                     30,                 1.7427,                0.87281,                 1.3533,                  0.626,                0.62338,                0.59957,                0.18112,                 2.4425,                  1.409,                 1.8425,               0.000152,               0.000152,               0.000152
